,Age,Gender,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
0,13,Female,4.0,6.1,78,5,0.1,10,3,8,1.4,86,19,3.6,1.7,1.2,Browsing,4,8.7,10.0
1,17,Female,5.5,6.5,70,5,0.0,3,7,3,0.9,96,9,1.1,4.0,1.8,Browsing,2,5.3,10.0
2,13,Other,5.8,5.5,93,8,0.8,2,3,10,0.5,137,8,0.3,1.5,0.4,Education,6,5.7,9.2
3,18,Female,3.1,3.9,78,8,1.6,9,10,3,1.4,128,7,3.1,1.6,0.8,Social Media,8,3.0,9.8
4,14,Other,2.5,6.7,56,4,1.1,1,5,1,1.0,96,20,2.6,0.9,1.1,Gaming,10,3.7,8.6
5,13,Female,3.9,6.3,89,3,0.7,7,1,3,1.1,135,8,3.8,0.0,1.4,Social Media,7,6.0,8.8
6,16,Male,6.3,6.7,89,3,0.9,6,7,9,0.8,129,9,1.8,2.7,1.0,Education,7,7.8,10.0
7,13,Other,5.1,6.1,70,2,2.2,5,6,8,1.0,34,7,2.3,1.6,0.5,Browsing,9,8.0,8.0
8,13,Male,3.0,9.1,79,0,1.8,1,7,6,0.9,70,13,2.7,2.2,1.3,Education,10,9.1,7.3
9,18,Other,3.9,5.8,89,8,1.1,9,1,9,0.9,121,13,2.7,0.4,1.0,Other,9,2.9,9.1
10,18,Female,4.9,7.0,74,5,0.6,4,3,2,0.6,84,20,3.1,0.6,0.8,Other,6,3.5,10.0
11,14,Male,1.6,5.9,70,10,1.5,10,8,8,0.9,147,18,1.9,2.7,1.0,Browsing,7,3.2,9.8
12,19,Female,7.4,5.8,70,4,0.6,4,9,3,1.1,59,19,4.3,0.4,0.4,Gaming,8,9.1,10.0
13,17,Female,8.7,5.5,95,6,1.9,2,8,2,0.7,76,8,4.2,1.3,1.5,Education,5,4.6,10.0
14,15,Other,6.4,8.5,79,3,0.0,2,8,9,0.5,50,14,5.0,1.2,0.0,Social Media,5,5.6,10.0
15,19,Other,4.4,6.6,97,6,1.6,8,10,4,1.2,134,17,2.2,1.5,1.8,Education,4,6.8,10.0
16,15,Female,5.4,7.8,87,4,2.3,6,6,9,0.9,36,20,2.6,1.3,1.1,Gaming,9,1.4,10.0
17,15,Other,3.0,6.1,80,5,1.4,1,4,2,1.2,95,16,3.0,1.9,0.2,Other,7,7.5,10.0
18,19,Female,7.9,8.5,96,6,0.1,5,2,4,1.0,58,9,2.2,1.9,1.3,Education,5,3.5,10.0
19,18,Male,5.4,5.9,69,4,1.3,2,7,8,0.6,83,19,1.6,1.0,0.4,Browsing,7,6.1,10.0
